trade_id,book,symbol,side,expiry,K,lots,lot,entry_ts,exit_ts,exit_reason,dte_entry,fill_source,hedge_frequency,hedge_underlying,ce_sym,pe_sym,ce_open_mid,pe_open_mid,ce_open_fill,pe_open_fill,ce_close_mid,pe_close_mid,straddle_open,straddle_close,pnl_opt,pnl_hedge,costs,pnl,iv_entry,rv_forecast,vrp_var,vrp_pts,rv_windows,sold_var,path_real_var,remaining_var,notes
stock-long-ITC-2026060310-2026-06-30,stock,ITC,long,2026-06-30,280.0,1,1600,2026-06-03 10:00:00,2026-06-15 14:00:00,iv_crush_stop,27,mid+slip/mid+slip,1h,ITC_spot_proxy,NSE-ITC-30Jun26-280-CE,NSE-ITC-30Jun26-280-PE,5.15,7.1,5.17575,7.135499999999999,9.25,0.9,12.311249999999998,10.09925,-3539.1999999999966,-2552.3096628249104,202.59793935018286,-6294.10760217509,0.2016888501384063,0.31512405131379284,-0.05862477544626544,-11.343520117538656,"5,20",0.003032549549229371,0.0005826016826508602,0.002449947866578511,"ATM-F K=280.00 long lots=1 hedge=1h/ITC_spot_proxy windows=[5, 20]"
stock-long-BHARTIARTL-2026051910-2026-06-30,stock,BHARTIARTL,long,2026-06-30,1940.0,1,475,2026-05-19 10:00:00,2026-06-16 13:00:00,iv_crush_stop,42,mid+slip/mid+slip,1h,BHARTIARTL_spot_proxy,NSE-BHARTIARTL-30Jun26-1940-CE,NSE-BHARTIARTL-30Jun26-1940-PE,44.3,54.5,44.52149999999999,54.772499999999994,24.2,73.75,99.29399999999998,97.46025,-871.0312499999908,994.9034340345897,464.2803746396876,-340.40819060508863,0.18114955535462307,0.3812742328757497,-0.11255487924981375,-20.012467752112663,"5,20",0.003793995674668897,0.0017317813185523034,0.0020622143561165934,"ATM-F K=1940.00 long lots=1 hedge=1h/BHARTIARTL_spot_proxy windows=[5, 20]"
stock-long-INFY-2026060310-2026-06-30,stock,INFY,long,2026-06-30,1220.0,1,400,2026-06-03 10:00:00,2026-06-19 09:00:00,variance_harvest,27,mid+slip/mid+slip,1h,INFY_spot_proxy,NSE-INFY-30Jun26-1220-CE,NSE-INFY-30Jun26-1220-PE,38.35,31.4,38.54175,31.556999999999995,18.1,51.75,70.09875,69.50075000000001,-239.1999999999939,-32952.065600363836,268.351423321667,-33459.6170236855,0.25809808608202517,0.47827233499077565,-0.16212980437832425,-22.01742489087505,"5,20",0.0049660797972416295,0.009662263636232196,-0.004696183838990567,"ATM-F K=1220.00 long lots=1 hedge=1h/INFY_spot_proxy windows=[5, 20]"
index-long-NIFTY-2026061210-2026-06-23,index,NIFTY,long,2026-06-23,23400.0,56,65,2026-06-12 10:00:00,2026-06-19 10:00:00,weekly_roll,11,mid+slip/mid+slip,1h,spot_as_fut_proxy,NSE-NIFTY-23Jun26-23400-CE,NSE-NIFTY-23Jun26-23400-PE,388.0,251.8,389.93999999999994,253.059,388.0,251.8,642.9989999999999,636.601,-23288.719999999674,-439123.6733110625,28135.227416236114,-490547.6207272983,0.13818106537935462,0.14500202693391254,-0.0019315809855696212,-0.6820961554557914,"5,20",0.0005870219986899558,0.00039254486803605134,0.00019447713065390445,"ATM-F K=23400.00 long lots=56 hedge=1h/spot_as_fut_proxy windows=[5, 20]"
stock-short-LT-2026052210-2026-06-30,stock,LT,short,2026-06-30,4000.0,1,175,2026-05-22 10:00:00,2026-06-22 09:00:00,em_stress,39,mid+slip/mid+slip,1h,LT_spot_proxy,NSE-LT-30Jun26-4000-CE,NSE-LT-30Jun26-4000-PE,107.8,136.0,107.261,135.32,45.85,116.85,242.581,163.51349999999996,13836.812500000004,-3951.9984278698907,674.8454933884977,9209.968578741617,0.2345693424143559,0.12263826424841279,0.03998263254283982,11.193107816594312,"5,20",0.005909644533568583,0.004827635500981464,0.0010820090325871189,"ATM-F K=4000.00 short lots=1 hedge=1h/LT_spot_proxy windows=[5, 20]"
stock-long-TCS-2026060310-2026-06-30,stock,TCS,long,2026-06-30,2280.0,1,175,2026-06-03 10:00:00,2026-06-23 09:00:00,variance_harvest,27,mid+slip/mid+slip,1h,TCS_spot_proxy,NSE-TCS-30Jun26-2280-CE,NSE-TCS-30Jun26-2280-PE,195.55,11.8,196.52775,11.859,195.55,11.8,208.38675,206.31325,-362.8624999999993,-4921.408572416228,269.43786396242365,-5553.708936378651,0.2853487627029831,0.6540466956212521,-0.3463531636769554,-36.869793291826895,"5,20",0.006070103736230506,0.006456102835514521,-0.0003859990992840156,"ATM-F K=2280.00 long lots=1 hedge=1h/TCS_spot_proxy windows=[5, 20]"
stock-long-RELIANCE-2026052610-2026-06-30,stock,RELIANCE,long,2026-06-30,1370.0,1,500,2026-05-26 10:00:00,2026-06-23 10:00:00,monthly_roll,35,mid+slip/mid+slip,1h,RELIANCE_spot_proxy,NSE-RELIANCE-30Jun26-1370-CE,NSE-RELIANCE-30Jun26-1370-PE,39.05,34.55,39.24524999999999,34.72274999999999,17.4,61.05,73.96799999999999,78.05775,2044.8750000000045,10620.630830631368,438.72182093897044,12226.784009692403,0.21959976696404937,0.23068465935284665,-0.004991354410074117,-1.1084892388797285,"5,20",0.004651316534752119,0.0030913608928504694,0.00155995564190165,"ATM-F K=1370.00 long lots=1 hedge=1h/RELIANCE_spot_proxy windows=[5, 20]"
stock-long-SBIN-2026052910-2026-06-30,stock,SBIN,long,2026-06-30,970.0,1,750,2026-05-29 10:00:00,2026-06-23 10:00:00,monthly_roll,32,mid+slip/mid+slip,1h,SBIN_spot_proxy,NSE-SBIN-30Jun26-970-CE,NSE-SBIN-30Jun26-970-PE,27.6,21.5,27.738,21.607499999999998,18.7,29.25,49.3455,47.71025,-1226.4374999999993,-17989.110445219216,517.0722619994139,-19732.620207218628,0.2143192769742368,0.259449221526421,-0.021381146067906254,-4.512994455218422,"5,20",0.00405304403894759,0.0023097166442383006,0.0017433273947092898,"ATM-F K=970.00 long lots=1 hedge=1h/SBIN_spot_proxy windows=[5, 20]"
index-short-NIFTY-2026061910-2026-06-30,index,NIFTY,short,2026-06-30,23950.0,14,65,2026-06-19 10:00:00,2026-06-25 09:00:00,iv_crush,11,mid+slip/mid+slip,1h,spot_as_fut_proxy,NSE-NIFTY-30Jun26-23950-CE,NSE-NIFTY-30Jun26-23950-PE,223.1,186.1,221.9845,185.1695,250.75,121.25,407.154,373.85999999999996,30297.540000000037,-29537.290310658514,8573.366630154278,-7813.116940812755,0.12207839292755082,0.11115625634572372,0.002547420694977246,1.09221365818271,"5,20",0.0004581787153010445,0.00018482484113744116,0.0002733538741636033,"ATM-F K=23950.00 short lots=14 hedge=1h/spot_as_fut_proxy windows=[5, 20]"
stock-short-SBIN-2026062310-2026-07-28,stock,SBIN,short,2026-07-28,1040.0,1,750,2026-06-23 10:00:00,2026-06-25 09:00:00,running_hot,35,mid+slip/mid+slip,1h,SBIN_spot_proxy,NSE-SBIN-28Jul26-1040-CE,NSE-SBIN-28Jul26-1040-PE,30.15,25.25,29.99925,25.12375,35.8,19.65,55.123000000000005,55.727249999999984,-453.1874999999843,-844.7497847722439,182.0498553834823,-1479.9871401557104,0.21591645790132152,0.20805395834372797,0.003333467210159452,0.786249955759355,"5,20,60",0.004496593617178672,0.0005080007359287761,0.003988592881249896,"ATM-F K=1040.00 short lots=1 hedge=1h/SBIN_spot_proxy windows=[5, 20, 60]"
index-short-NIFTY-2026071410-2026-07-28,index,NIFTY,short,2026-07-28,24200.0,8,65,2026-07-14 10:00:00,2026-07-16 10:00:00,iv_crush,14,mid+slip/mid+slip,1h,spot_as_fut_proxy,NSE-NIFTY-28Jul26-24200-CE,NSE-NIFTY-28Jul26-24200-PE,205.15,292.5,204.12425000000002,291.0375,212.7,212.7,495.16175000000004,427.52699999999993,35170.07000000006,-9107.120572566084,1298.8018478588376,24764.147579575136,0.18658341803674017,0.14829240027751597,0.012822735906205914,3.8291017759224193,"5,20,60",0.001356236196573375,6.968565080776503e-05,0.00128655054576561,"ATM-F K=24200.00 short lots=8 hedge=1h/spot_as_fut_proxy windows=[5, 20, 60]"
stock-short-ITC-2026062310-2026-07-28,stock,ITC,short,2026-07-28,292.5,1,1600,2026-06-23 10:00:00,2026-07-20 09:00:00,iv_crush,35,mid+slip/mid+slip,1h,ITC_spot_proxy,NSE-ITC-28Jul26-292.5-CE,NSE-ITC-28Jul26-292.5-PE,7.25,5.45,7.21375,5.42275,6.15,6.2,12.6365,12.41175,359.60000000000036,-47.90005759714137,276.80707202807946,34.892870374779534,0.1818076217905343,0.15774137091143087,0.008171671244112357,2.406625087910344,"5,20,60",0.0031881321684833885,0.0014502901729665852,0.0017378419955168033,"ATM-F K=292.50 short lots=1 hedge=1h/ITC_spot_proxy windows=[5, 20, 60]"
index-short-NIFTY-2026071710-2026-07-28,index,NIFTY,short,2026-07-28,24300.0,10,65,2026-07-17 10:00:00,2026-07-20 15:00:00,iv_crush,11,mid+slip/mid+slip,1h,spot_as_fut_proxy,NSE-NIFTY-28Jul26-24300-CE,NSE-NIFTY-28Jul26-24300-PE,183.65,253.4,182.73175,252.133,162.0,193.65,434.86475,357.42824999999993,50333.72500000005,-13888.845863640043,4944.003362686428,31500.875773673575,0.17325969986549983,0.10983516719550315,0.017955159644618947,6.342453266999668,"5,20,60",0.0009228952668858876,5.928767784113819e-05,0.0008636075890447494,"ATM-F K=24300.00 short lots=10 hedge=1h/spot_as_fut_proxy windows=[5, 20, 60]"
stock-long-BHARTIARTL-2026062510-2026-07-28,stock,BHARTIARTL,long,2026-07-28,1880.0,1,475,2026-06-25 10:00:00,2026-07-21 10:00:00,monthly_roll,33,mid+slip/mid+slip,1h,BHARTIARTL_spot_proxy,NSE-BHARTIARTL-28Jul26-1880-CE,NSE-BHARTIARTL-28Jul26-1880-PE,51.25,32.95,51.506249999999994,33.11475,51.25,32.95,84.621,83.779,-399.9499999999994,7077.3421117247935,797.0119106140563,5880.380201110737,0.18967347865542358,0.19939627958297362,-0.0037828478062819568,-0.972280092755004,"5,20,60",0.003272973161411866,0.0027797689063542613,0.0004932042550576045,"ATM-F K=1880.00 long lots=1 hedge=1h/BHARTIARTL_spot_proxy windows=[5, 20, 60]"
stock-short-SBIN-2026062510-2026-07-28,stock,SBIN,short,2026-07-28,1040.0,1,750,2026-06-25 10:00:00,2026-07-21 10:00:00,monthly_roll,33,mid+slip/mid+slip,1h,SBIN_spot_proxy,NSE-SBIN-28Jul26-1040-CE,NSE-SBIN-28Jul26-1040-PE,36.0,19.85,35.82,19.75075,27.85,6.5,55.570750000000004,34.52175,15786.750000000005,-15139.317532904826,654.0290012503527,-6.596534155173572,0.2136438018372667,0.20027739887551693,0.005532637563138369,1.3366402961749762,"5,20,60",0.0041525017186432025,0.002613896209067593,0.0015386055095756093,"ATM-F K=1040.00 short lots=1 hedge=1h/SBIN_spot_proxy windows=[5, 20, 60]"
stock-short-BAJFINANCE-2026072310-2026-08-25,stock,BAJFINANCE,short,2026-08-25,1040.0,1,125,2026-07-23 10:00:00,2026-07-24 09:00:00,running_hot,33,mid+slip/mid+slip,1h,BAJFINANCE_spot_proxy,NSE-BAJFINANCE-25Aug26-1040-CE,NSE-BAJFINANCE-25Aug26-1040-PE,41.85,26.7,41.640750000000004,26.566499999999998,26.4,46.2,68.20725,72.963,-594.468749999999,-542.5678497308527,30.52167145924875,-1167.5582711901006,0.2675389257257934,0.22448064651695848,0.02118551611783994,4.305827920883493,"5,20,60",0.006511831933705567,0.000721736634716109,0.005790095298989458,"ATM-F K=1040.00 short lots=1 hedge=1h/BAJFINANCE_spot_proxy windows=[5, 20, 60]"
stock-short-LT-2026072710-2026-08-25,stock,LT,short,2026-08-25,3800.0,1,175,2026-07-27 10:00:00,2026-07-29 09:00:00,running_hot,29,mid+slip/mid+slip,1h,LT_spot_proxy,NSE-LT-25Aug26-3800-CE,NSE-LT-25Aug26-3800-PE,129.6,89.0,128.952,88.55499999999999,206.15,29.9,217.507,237.23024999999998,-3451.5687499999963,3894.4859582212075,198.7008014009147,244.21640682029653,0.25189023690675905,0.14907191467898626,0.04122625570288425,10.281832222777279,"5,20,60",0.005077487685538861,0.0010445933800616708,0.004032894305477191,"ATM-F K=3800.00 short lots=1 hedge=1h/LT_spot_proxy windows=[5, 20, 60]"
index-short-NIFTY-2026072210-2026-08-04,index,NIFTY,short,2026-08-04,24100.0,13,65,2026-07-22 10:00:00,2026-07-29 10:00:00,weekly_roll,13,mid+slip/mid+slip,1h,spot_as_fut_proxy,NSE-NIFTY-04Aug26-24100-CE,NSE-NIFTY-04Aug26-24100-PE,272.5,262.85,271.1375,261.53575,272.5,262.85,532.67325,538.02675,-4523.7074999999495,-91734.55554965575,6647.271020814203,-102905.5340704699,0.12593056878225237,0.11091262312852203,0.003556898184572036,1.5017945653730338,"5,20,60",0.0005743869882316172,0.0002750785037354715,0.00029930848449614565,"ATM-F K=24100.00 short lots=13 hedge=1h/spot_as_fut_proxy windows=[5, 20, 60]"
