date,n_index_open,n_stock_open,pnl_index,pnl_stock,pnl_opt,pnl_hedge,costs,pnl,equity,drawdown,span,elm,posted_margin
2026-08-17,1,4,67591.55000000005,1795.850000000005,69387.40000000005,-69828.2182633171,5233.533580905229,-5674.35184422228,-5763197.478400114,-6525223.309899608,442521.13745781436,30603.55022363601,473124.6876814504
2026-08-18,1,5,61741.550000000054,2380.49375000001,64122.04375000006,-52461.09669275947,7749.38063370784,3911.5664235327513,-5759285.911976581,-6521311.743476076,476557.5859191341,31255.274275879594,507812.8601950137
2026-08-19,1,4,61741.550000000054,3112.2000000000035,64853.75000000006,27562.923229497872,8754.697275597779,83661.97595390015,-5675623.936022681,-6437649.767522175,339809.89255363087,25788.0517548295,365597.9443084604
2026-08-20,1,5,61741.550000000054,5916.399999999997,67657.95000000006,-80858.1112684052,9494.134120290753,-22694.295388695904,-5698318.231411377,-6460344.062910872,381190.4839986548,25890.282724388937,407080.76672304375
2026-08-21,1,5,61741.550000000054,7565.150000000007,69306.70000000006,-91409.05934112545,9576.701590610199,-31679.060931735596,-5729997.292343113,-6492023.123842606,381190.4839986548,25890.282724388937,407080.76672304375
2026-08-24,1,5,-4711.167499999961,3388.900000000004,-1322.2674999999572,-4256.415302467487,1923.6749786493822,-7502.357781116826,-5737499.6501242295,-6499525.481623724,332673.0672872678,35505.403092833825,368178.47038010164
2026-08-25,1,5,23963.582499999964,2372.6500000000033,26336.232499999966,-13403.446405155895,3374.6608393919223,9558.125255452149,-5727941.524868777,-6489967.356368272,332673.0672872678,35505.403092833825,368178.47038010164
2026-08-26,1,5,64572.3325,2782.650000000008,67354.9825,-49776.86233304055,5789.79483396562,11788.325332993825,-5716153.199535783,-6478179.031035278,332673.0672872678,35505.403092833825,368178.47038010164
2026-08-27,1,5,76616.8325,1850.1499999999978,78466.9825,-37226.60502290232,8188.885902367965,33051.49157472972,-5683101.707961054,-6445127.539460547,332673.0672872678,35505.403092833825,368178.47038010164
2026-08-28,1,6,127667.83249999999,4136.400000000005,131804.23249999998,-79378.82103083274,9869.21456672776,42556.196902439486,-5640545.511058614,-6402571.342558108,413071.48859400186,37002.01452589419,450073.5031198961
2026-08-31,1,7,4080.4399999999896,2760.6000000000076,6841.039999999997,3917.305088053355,1846.948889389335,8911.396198664017,-5631634.11485995,-6393659.946359444,492851.43803350994,58760.83744229823,551612.2754758082
2026-09-01,1,7,39024.44000000002,8578.38125000001,47602.82125000002,-174.18979473603758,4333.480201387082,43095.1512538769,-5588538.963606073,-6350564.795105567,563660.8044284933,61214.5328310597,624875.3372595529
2026-09-02,1,6,42352.44,5239.181250000003,47591.621250000004,-60455.91710036645,6967.806992698225,-19832.102843064673,-5608371.066449137,-6370396.897948632,471446.8863387198,49613.22544926708,521060.11178798694
2026-09-03,1,7,91024.44000000002,4347.981250000005,95372.42125000001,-83835.12703658036,7275.530007781482,4261.764205638167,-5604109.302243499,-6366135.133742994,567432.4998101379,62202.88678986563,629635.3866000036
2026-09-04,0,6,0.0,-3486.6437499999956,-3486.6437499999956,24265.73987054359,1261.658806857868,19517.43731368573,-5584591.864929813,-6346617.696429307,390376.656413045,19230.903271531788,409607.5596845768
2026-09-07,0,8,0.0,4834.425000000012,4834.425000000012,19463.42105114144,1433.628479964626,22864.217571176825,-5561727.647358636,-6323753.47885813,525365.5061092358,23932.944885368575,549298.4509946044
2026-09-08,0,8,0.0,1215.6750000000138,1215.6750000000138,14228.389424040564,1587.36250266629,13856.701921374288,-5547870.945437262,-6309896.776936756,525365.5061092358,23932.944885368575,549298.4509946044
2026-09-09,1,7,-1800.5812499999863,-1790.5749999999844,-3591.156249999971,1571.2194581232263,4430.1065268908,-6450.043318767544,-5554320.988756029,-6316346.820255524,624201.8981355362,167771.74177098126,791973.6399065176
2026-09-10,1,7,-1800.5812499999863,-128.07499999998447,-1928.656249999971,-21260.389480792604,5316.723345057407,-28505.76907584998,-5582826.757831879,-6344852.589331374,624201.8981355362,167771.74177098126,791973.6399065176
2026-09-11,1,7,-22575.15000000007,-698.0749999999827,-23273.225000000053,-13076.935207650138,3240.963056314469,-39591.123263964655,-5622417.881095843,-6384443.712595338,627506.4138032837,97984.03338789538,725490.447191179
2026-09-15,1,8,153617.09999999998,-3999.8749999999764,149617.225,1087.7657341907989,6326.809195493105,144378.18153869768,-5478039.699557146,-6240065.531056641,669577.4339894706,99212.99700972762,768790.4309991982
2026-09-16,1,8,146655.59999999998,-2971.124999999978,143684.475,-35869.35255769138,7477.951961075729,100337.1704812329,-5377702.529075913,-6139728.360575408,669577.4339894706,99212.99700972762,768790.4309991982
2026-09-17,1,8,147539.59999999998,-4527.374999999978,143012.225,-46299.08979086713,7563.949450079643,89149.18575905323,-5288553.34331686,-6050579.174816353,669577.4339894706,99212.99700972762,768790.4309991982
